State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Carroll County, New Hampshire(6,8)",,462.9,440.2,486.5,379,falling,-1,-1.9,-0.1
"Knox County, Ohio(6,8)",,491.6,469,515.2,378,stable,0.3,-0.4,0.9
"Umatilla County, Oregon(6,8)",,434.8,415,455.4,377,stable,-0.6,-1.4,0.3
"Venango County, Pennsylvania(6,8)",,484.2,461.2,508.1,377,stable,-0.3,-0.9,0.4
"Marion County, West Virginia(6,8)",,501.3,478.1,525.4,376,stable,0.4,-0.2,0.9
"Polk County, Texas(6,8)",,580,552.7,608.5,376,stable,1.6,-0.1,3.4
"Pottawatomie County, Oklahoma(6,8)",,441.1,420.9,461.9,375,falling,-1,-1.7,-0.2
"Whiteside County, Illinois(6,8)",,472.6,450.7,495.5,375,stable,-0.4,-1.2,0.4
"Clinton County, Michigan(6,8)",,399.1 #  ,380.8,418.2,374,stable,-2.4,-6.3,1.7
"Troup County, Georgia(7,8)",,482.7,460.5,505.6,373,stable,-0.3,-0.8,0.3
"Valencia County, New Mexico(7,8)",,405.4,386.6,424.9,373,falling,-0.6,-0.9,-0.3
"Sauk County, Wisconsin(6,8)",,455.1,434,477,373,stable,0.1,-0.5,0.7
"Jackson County, Georgia(7,8)",,519.5,495.6,544.3,372,stable,0.3,-0.2,0.9
"Benton County, Oregon(6,8)",,379.2,361.4,397.7,371,falling,-1.9,-2.9,-1
"Rockwall County, Texas(6,8)",,407.1,388.3,426.6,369,falling,-1.3,-2.1,-0.5
"Pike County, Pennsylvania(6,8)",,445.6,424.3,467.8,368,falling,-1.1,-1.8,-0.4
"Liberty County, Texas(6,8)",,427.9,408,448.6,368,falling,-1,-1.8,-0.2
"Granville County, North Carolina(6,8)",,503.9,480.5,528.3,368,falling,-1.7,-2.5,-0.8
"Baxter County, Arkansas(6,8)",,472.9,448.9,498,367,falling,-1.2,-1.7,-0.7
"Wagoner County, Oklahoma(6,8)",,402.7,383.9,422.2,366,stable,-0.8,-1.9,0.3
"Kershaw County, South Carolina(6,8)",,443.7,422.9,465.4,365,falling,-1.4,-2.1,-0.7
"Lynchburg City, Virginia(6,8)",,453,431.7,475,365,stable,0.3,-0.8,1.4
"Sampson County, North Carolina(6,8)",,461.7,440.3,484,365,stable,0.2,-0.7,1.1
"Robertson County, Tennessee(6,8)",,462.8,441.2,485.2,364,falling,-2,-3.5,-0.5
"Greene County, New York(7,8)",,517.5,492.8,543.3,361,stable,-0.6,-1.3,0
"Halifax County, North Carolina(6,8)",,495.4,471.9,519.8,360,stable,0.2,-0.4,0.7
"Washington County, Vermont(6,8)",,458.3,436.6,481,359,falling,-1.1,-1.6,-0.5
"Wayne County, Pennsylvania(6,8)",,439.3,418.1,461.4,357,stable,-0.7,-1.6,0.3
"Pearl River County, Mississippi(6,8)",,500.9,477.1,525.7,356,stable,-0.9,-1.8,0.1
"Jefferson County, Tennessee(6,8)",,492.8,469.3,517.3,356,stable,4.6,-0.1,9.5
"Oldham County, Kentucky(7,8)",,525.5,500,551.9,356,falling,-0.8,-1.2,-0.4
"Lee County, North Carolina(6,8)",,496,472.7,520.2,355,stable,-0.3,-1,0.4
"Tuscola County, Michigan(6,8)",,474.7 #  ,452,498.3,355,stable,-0.8,-1.6,0.1
"Columbia County, Wisconsin(6,8)",,483.3,460.4,507.2,355,stable,-0.2,-0.9,0.5
"Marquette County, Michigan(6,8)",,411.5 #  ,391.6,432.1,354,falling,-1.3,-2.1,-0.5
"Pittsylvania County, Virginia(6,8)",,379.7,361.3,398.9,353,falling,-1.5,-2.5,-0.4
"Cerro Gordo County, Iowa(7,8)",,562.9,535.5,591.5,352,rising,0.5,0.2,0.9
"Chenango County, New York(7,8)",,515.4,490.5,541.3,351,stable,0.3,-0.3,1
"Roane County, Tennessee(6,8)",,432.5,411.3,454.5,351,falling,-3.6,-6.2,-1
"Walton County, Florida(6,8)",,398.6,379.4,418.6,350,falling,-1.1,-2,-0.2
"Fauquier County, Virginia(6,8)",,414.5,394.6,435.2,349,falling,-1.7,-2.7,-0.7
"Acadia Parish, Louisiana(7,8)",,495.5,472,519.8,349,stable,-0.1,-0.5,0.3
"Kauai County, Hawaii(7,8)",,367,349.2,385.5,349,falling,-0.7,-1.3,-0.2
"Boyd County, Kentucky(7,8)",,533.2,507.7,559.7,348,falling,-0.6,-1.1,-0.1
"Crawford County, Arkansas(6,8)",,460.5,438.6,483.3,347,rising,0.8,0.2,1.5
"Cache County, Utah(7,8)",,389.9,371.4,409,347,stable,3.8,-1,8.9
"Lincoln County, Oregon(6,8)",,422.8,401.1,445.6,347,falling,-1.6,-2.2,-0.9
"Putnam County, West Virginia(6,8)",,478.5,455.6,502.3,347,falling,-0.8,-1.6,-0.1
"Bedford County, Pennsylvania(6,8)",,474.6,451.4,498.8,346,stable,-0.3,-1.1,0.5
"Carson City, Nevada(6,8)",,461.3,439,484.5,346,stable,-0.5,-1.2,0.1
"Harrison County, Texas(6,8)",,434.1,413.3,455.6,346,falling,-1.1,-2,-0.2
"Pender County, North Carolina(6,8)",,459.4,437.3,482.5,345,stable,-0.3,-1.3,0.6
"Columbus County, North Carolina(6,8)",,451.2,429.4,473.9,345,stable,-0.1,-0.6,0.4
"DeKalb County, Alabama(6,8)",,395.5,376.6,415.2,344,falling,-1.2,-2.2,-0.1
"Franklin County, Virginia(6,8)",,412.5,392,434,343,stable,-0.5,-1.5,0.6
"Nye County, Nevada(6,8)",,426.9,404.7,450.4,341,stable,-1,-2.1,0.2
"Van Zandt County, Texas(6,8)",,454.4,432.1,477.6,339,stable,-0.1,-0.9,0.6
"St. Croix County, Wisconsin(6,8)",,366,348.3,384.5,339,stable,-8.4,-16.3,0.3
"Knox County, Illinois(6,8)",,470.2,447.1,494.3,338,stable,-0.3,-1,0.4
"Dallas County, Iowa(7,8)",,440.7,419.6,462.6,338,falling,-0.5,-0.9,-0.1
"Warrick County, Indiana(6,8)",,445.3,423.7,467.8,338,stable,0.2,-0.7,1.1
"Huron County, Ohio(6,8)",,476.8,453.7,500.9,337,stable,0.3,-0.5,1.2
"Somerset County, Maine(6,8)",,463.6,440.8,487.5,336,falling,-1.2,-2.1,-0.3
"Vermilion Parish, Louisiana(7,8)",,487.6,464,512.1,335,stable,-0.4,-1.1,0.3
"Kerr County, Texas(6,8)",,394.1,373.4,415.8,334,falling,-0.9,-1.5,-0.3
"Delaware County, New York(7,8)",,475.7,451.3,501.2,334,stable,-0.6,-1.1,0
"Henry County, Virginia(6,8)",,416.3,395.4,438.1,333,stable,-0.5,-1.7,0.7
"Macoupin County, Illinois(6,8)",,518.2,492.7,544.8,333,rising,4.3,0.3,8.4
"Lowndes County, Mississippi(6,8)",,480.7,457.3,505,332,stable,-0.8,-2.4,0.7
"Montgomery County, New York(7,8)",,507.5,482.5,533.7,332,stable,-0.5,-1,0
"Portage County, Wisconsin(6,8)",,406.1,386.2,426.9,330,falling,-1.3,-2.2,-0.4
"Montcalm County, Michigan(6,8)",,414.8 #  ,394.5,435.9,330,stable,0.5,-7.7,9.5
"Pickaway County, Ohio(6,8)",,490.5,466.8,515.3,329,stable,0.2,-0.4,0.8
"Tioga County, New York(7,8)",,488.6,464.3,513.9,329,stable,-0.6,-1.3,0.2
"Montgomery County, Virginia(6,8)",,369,351,387.8,329,stable,3.1,-2,8.4
"Yuba County, California(7,8)",,451.5,429.2,474.5,327,falling,-0.9,-1.4,-0.3
"Dearborn County, Indiana(6,8)",,515.2,489.7,541.8,326,stable,0.6,-0.4,1.6
"Otero County, New Mexico(7,8)",,415.4,395,436.7,325,stable,0,-0.4,0.4
"Carter County, Tennessee(6,8)",,402.2,382.1,423.2,325,stable,-7.4,-15.6,1.7
"Colbert County, Alabama(6,8)",,437.8,416,460.5,325,stable,0.8,-0.1,1.6
"Edgecombe County, North Carolina(6,8)",,453.8,431,477.5,325,stable,-0.8,-1.6,0
"Pope County, Arkansas(6,8)",,455.1,432.8,478.2,325,stable,-0.2,-1.1,0.8
"Stokes County, North Carolina(6,8)",,489.3,464.9,514.8,325,rising,0.8,0.2,1.3
"Henry County, Illinois(6,8)",,472.5,448.9,497.1,324,stable,-0.4,-1.1,0.2
"Walker County, Georgia(7,8)",,364.4,346.4,383.2,324,falling,-1.9,-3.2,-0.6
"Ashland County, Ohio(6,8)",,472.5,448.9,497,324,stable,0.9,-0.1,2
"Lyon County, Nevada(6,8)",,434.2,412.1,457.4,323,falling,-1.6,-2.4,-0.7
"York County, Virginia(6,8)",,408,388,428.9,323,falling,-1.6,-2.6,-0.7
"Cherokee County, South Carolina(6,8)",,470.9,447.6,495.2,323,stable,-0.2,-0.9,0.5
"Douglas County, Nevada(6,8)",,396.4,375.4,418.4,323,stable,-1,-1.9,0
"Franklin County, Kentucky(7,8)",,513.1,487.6,539.6,323,falling,-0.7,-1.1,-0.2
"Camden County, Missouri(6,8)",,410.8,388.9,433.7,322,falling,-1,-1.9,-0.1
"Bannock County, Idaho(7,8)",,371.9,353.5,391.1,322,falling,-1.1,-1.5,-0.6
"Coffee County, Tennessee(6,8)",,472,448.7,496.3,321,stable,0.3,-0.6,1.2
"McMinn County, Tennessee(6,8)",,441.3,419.2,464.4,320,stable,0.4,-0.5,1.3
"Calaveras County, California(7,8)",,414,391.8,437.3,320,stable,-0.7,-1.4,0
"Tipton County, Tennessee(6,8)",,470.2,446.8,494.4,319,stable,-1.1,-2.2,0.1
"Ogle County, Illinois(6,8)",,477.1,453.3,501.9,319,stable,0,-0.6,0.7
"Ionia County, Michigan(6,8)",,446.8 #  ,424.6,469.9,319,stable,-0.2,-0.9,0.5
"Oneida County, Wisconsin(6,8)",,537.3,509.2,566.8,319,stable,0,-0.8,0.8
"St. Mary Parish, Louisiana(7,8)",,513.2,487.7,539.8,319,stable,0.1,-0.4,0.7
"Hall County, Nebraska(6,8)",,464.8,441.8,488.7,318,falling,-1.1,-1.9,-0.2
"Waupaca County, Wisconsin(6,8)",,430.4,408.5,453.3,318,falling,-0.9,-1.6,-0.1
"Marinette County, Wisconsin(6,8)",,491,465.7,517.5,317,stable,0,-0.7,0.7
"Wood County, Texas(6,8)",,433.3,410.3,457.5,317,stable,0.1,-0.7,0.9
"Blount County, Alabama(6,8)",,432,410.4,454.4,317,stable,0,-1,0.9
"Campbell County, Virginia(6,8)",,419.3,398.3,441.3,317,falling,-1.2,-2.1,-0.3
"Fairbanks North Star, Alaska(6,8)",,386.2,365.6,407.5,317,falling,-2.7,-3.4,-2
"Walla Walla County, Washington(6,8)",,424.6,403.2,446.9,317,falling,-1.1,-2,-0.2
"Wise County, Texas(6,8)",,431.4,409.8,453.8,317,stable,0.7,-0.2,1.5
"Dickson County, Tennessee(6,8)",,510.2,484.8,536.6,316,stable,0.8,-0.1,1.6
"St. Martin Parish, Louisiana(7,8)",,515.8,489.9,542.8,316,stable,-0.1,-0.9,0.7
"Queen Annes County, Maryland(6,8)",,492.6,467.6,518.7,315,stable,-0.5,-1.5,0.6
"Duplin County, North Carolina(6,8)",,423.2,401.9,445.3,315,stable,0.2,-0.5,0.8
"Levy County, Florida(6,8)",,504.5,478.1,532.2,315,stable,-0.2,-1,0.6
"Jackson County, Alabama(6,8)",,438.8,416.5,462,314,stable,0.5,-0.7,1.8
"Ottawa County, Ohio(6,8)",,484,458.6,510.6,314,falling,-0.5,-1,-0.1
"Fayette County, West Virginia(6,8)",,503.9,478.3,530.7,314,stable,0.1,-0.6,0.8
"Allegany County, New York(7,8)",,514.6,488.4,541.8,313,stable,0,-0.6,0.6
"McDowell County, North Carolina(6,8)",,500,474.6,526.5,313,stable,0.3,-0.7,1.2
"Garfield County, Oklahoma(6,8)",,429.6,408,452.2,312,falling,-1.1,-2.1,-0.2
"Bristol County, Rhode Island(6,8)",,459,435.5,483.7,311,stable,-5.8,-12.7,1.7
"Mifflin County, Pennsylvania(6,8)",,470.7,446.6,495.9,311,stable,-0.2,-1.1,0.6
"Clinton County, Iowa(7,8)",,481.4,456.8,507.1,310,stable,-0.2,-0.5,0.1
"Monroe County, Tennessee(6,8)",,485.6,460.7,511.7,310,stable,0.3,-1,1.7
"Beaufort County, North Carolina(6,8)",,428.7,406.3,452.2,310,falling,-4.7,-6.7,-2.7
"Seneca County, Ohio(6,8)",,436.8,414.5,460.2,308,stable,-0.6,-1.2,0
"Walker County, Texas(6,8)",,428.9,407.3,451.4,308,falling,-1.8,-2.7,-1
"Autauga County, Alabama(6,8)",,490.1,465.6,515.7,308,stable,0.5,-0.3,1.3
"Lamar County, Texas(6,8)",,470.7,446.8,495.7,307,stable,-0.7,-1.5,0.1
"Taney County, Missouri(6,8)",,410.3,389,432.6,307,stable,1.3,-4.1,7
"Jefferson County, Washington(7,8)",,481.1,453.2,510.6,306,falling,-0.5,-0.9,-0.2
"Boone County, Indiana(6,8)",,454.6,431.6,478.6,306,stable,0,-0.8,0.7
"Henry County, Indiana(6,8)",,471.7,447.8,496.7,306,stable,-0.5,-0.9,0
"San Patricio County, Texas(6,8)",,414.3,393.4,436,305,falling,-1.3,-2,-0.5
"Suwannee County, Florida(6,8)",,492.3,466.9,518.9,304,stable,-0.3,-1.3,0.8
"Darke County, Ohio(6,8)",,437.2,414.7,460.6,304,falling,-6.7,-11.6,-1.5
"Jefferson County, West Virginia(6,8)",,459.7,436.1,484.4,304,falling,-1.8,-2.5,-1
"St. Joseph County, Michigan(6,8)",,399.1 #  ,378.6,420.4,303,falling,-1.3,-2,-0.6
"Kenai Peninsula Borough, Alaska(6,8)",,426.9,404.2,450.6,303,falling,-1.4,-2.4,-0.3
"Franklin County, Illinois(6,8)",,547.4,519.2,577,302,stable,-0.4,-1.2,0.5
"Grundy County, Illinois(6,8)",,559.8,531.3,589.4,302,stable,0.1,-0.6,0.7
"Columbia County, Oregon(6,8)",,442.3,419.3,466.3,301,falling,-1,-1.9,-0.1
"Knox County, Maine(6,8)",,474.4,449.1,500.9,301,falling,-0.8,-1.4,-0.1
"Gibson County, Tennessee(6,8)",,473.8,449.6,499,301,stable,0.8,0,1.6
"Gila County, Arizona(6,8)",,329.2,310.8,348.6,301,falling,-1.4,-2.5,-0.4
"Ward County, North Dakota(6,8)",,455.4,432.2,479.5,301,stable,-0.9,-2,0.1
"Hancock County, Mississippi(6,8)",,484.9,459.8,511.2,300,stable,0.9,-0.3,2.1
"Grant County, Wisconsin(6,8)",,480.9,455.9,507,300,stable,0,-0.9,0.9
"Christian County, Kentucky(7,8)",,460,436.6,484.3,300,falling,-0.7,-1.2,-0.3
"Gordon County, Georgia(7,8)",,474.4,450.2,499.6,300,stable,-0.3,-0.9,0.2
"Franklin County, New York(7,8)",,479.3,454.8,504.9,299,falling,-1.2,-1.8,-0.6
"Talbot County, Maryland(6,8)",,462.1,436.6,488.9,299,stable,-0.4,-1.1,0.3
"Catoosa County, Georgia(7,8)",,365.3,346.7,384.8,299,stable,-1.4,-3.2,0.3
"Grand Forks County, North Dakota(6,8)",,457.9,434.2,482.6,299,stable,-0.5,-1.3,0.2
"Bonner County, Idaho(7,8)",,447.2,423.1,472.5,298,falling,-1.2,-2,-0.5
"Davie County, North Carolina(6,8)",,501.6,475.5,528.9,297,stable,-3.8,-8.7,1.2
"Washington County, Oklahoma(6,8)",,425.1,402.9,448.3,297,falling,-1.1,-2,-0.1
"Barron County, Wisconsin(6,8)",,449.1,425.4,473.9,296,stable,0.6,-0.2,1.5
"Barren County, Kentucky(7,8)",,539,511.2,568,295,rising,0.7,0.2,1.3
"Coryell County, Texas(6,8)",,478.6,453.9,504.3,294,stable,-0.5,-1.1,0.2
"Hardin County, Texas(6,8)",,435.1,412.6,458.5,294,falling,-1.5,-2.3,-0.8
"Shelby County, Indiana(6,8)",,524.6,497.4,553,293,stable,0.7,-0.1,1.5
"Logan County, Ohio(6,8)",,503.1,476.9,530.4,293,stable,0.1,-0.7,0.8
"Tioga County, Pennsylvania(6,8)",,488.4,462.7,515.4,293,stable,-0.2,-1.1,0.6
"Payne County, Oklahoma(6,8)",,407.5,386.4,429.5,292,falling,-1.4,-2.4,-0.3
"Henderson County, Kentucky(7,8)",,501,474.9,528.3,292,stable,-0.3,-0.8,0.2
"Jefferson County, Pennsylvania(6,8)",,463.7,439.2,489.2,292,falling,-3.1,-5.6,-0.5
"Washington Parish, Louisiana(7,8)",,491.7,465.9,518.6,292,stable,-0.7,-1.5,0
"Fremont County, Colorado(6,8)",,423.7,401.4,447,291,stable,-0.8,-1.8,0.2
"Rusk County, Texas(6,8)",,450.7,427.4,475.1,291,stable,-0.1,-1.2,0.9
"Newton County, Missouri(6,8)",,391.3,371,412.6,291,stable,-0.9,-2,0.2
"Susquehanna County, Pennsylvania(6,8)",,465,439.8,491.4,290,stable,-0.2,-0.7,0.3
"Cortland County, New York(7,8)",,516,489,544.2,290,stable,-0.1,-0.8,0.5
"Jessamine County, Kentucky(7,8)",,509.2,482.6,536.8,288,stable,-0.3,-1,0.3
"Warren County, Pennsylvania(6,8)",,482.6,456.5,509.9,288,stable,-0.8,-1.9,0.3
"Floyd County, Kentucky(7,8)",,609.8,577.5,643.4,288,stable,2.9,-0.1,6
"Sullivan County, New Hampshire(6,8)",,466.7,441.7,492.9,288,stable,-0.7,-1.3,0
"Barry County, Michigan(6,8)",,366 #  ,346.6,386.4,287,stable,-1.2,-2.7,0.4
"Cherokee County, Texas(6,8)",,455.6,431.8,480.5,287,stable,-0.1,-0.6,0.4
"Campbell County, Tennessee(6,8)",,506.9,480.1,534.9,287,stable,0.4,-0.7,1.4
"Hopkins County, Kentucky(7,8)",,477.4,452.4,503.6,287,stable,-0.7,-1.4,0
"Anderson County, Texas(6,8)",,433.6,411.2,457,286,stable,0.1,-1,1.2
"Lawrence County, Indiana(6,8)",,455.1,431.1,480.3,286,stable,0,-0.7,0.7
"Perry County, Pennsylvania(6,8)",,476.5,451.1,503,286,stable,-0.4,-1.2,0.3
"Amador County, California(7,8)",,437.7,413.3,463.4,282,falling,-1.1,-1.7,-0.5
"Athens County, Ohio(6,8)",,456.4,432.1,481.7,282,stable,-0.7,-1.7,0.2
"Marion County, Illinois(6,8)",,545.1,515.9,575.7,282,stable,-0.1,-0.7,0.5
"Orleans County, New York(7,8)",,529.2,501.1,558.6,282,stable,0.3,-0.4,0.9
"Burnet County, Texas(6,8)",,425.7,402.6,449.9,281,stable,-0.8,-1.6,0
"Starr County, Texas(6,8)",,504.3,478.1,531.6,281,rising,4,2,6
"Russell County, Alabama(6,8)",,443.6,420.2,468,281,stable,0.1,-2.3,2.5
"Carter County, Oklahoma(6,8)",,474.3,449.3,500.4,280,stable,0,-0.5,0.4
"Macon County, North Carolina(6,8)",,471.4,444.7,499.5,280,stable,-0.2,-1.2,0.8
"Ohio County, West Virginia(6,8)",,453.4,428.7,479.4,280,falling,-0.9,-1.8,-0.1
"Des Moines County, Iowa(7,8)",,501.9,474.8,530.2,280,stable,0.1,-0.3,0.5
"Newaygo County, Michigan(6,8)",,434.4 #  ,410.9,458.9,280,stable,2.3,-2,6.7
"Stephenson County, Illinois(6,8)",,414.2,391.6,437.9,279,stable,-0.6,-1.4,0.2
"Lincoln County, Missouri(6,8)",,477.9,452.5,504.5,279,stable,-0.6,-1.6,0.5
"Tallapoosa County, Alabama(6,8)",,479.6,453.5,506.9,279,rising,0.7,0.2,1.2
"Ravalli County, Montana(6,8)",,413,389.8,437.5,277,falling,-0.8,-1.4,-0.2
"Stephens County, Oklahoma(6,8)",,465.8,440.7,492,277,stable,-0.4,-1.1,0.2
"Washington County, Virginia(6,8)",,349,330,369,277,falling,-2.4,-3.9,-0.8
"Boone County, Illinois(6,8)",,456.8,432.6,482,276,stable,-0.5,-1.2,0.3
"Habersham County, Georgia(7,8)",,503.3,476.4,531.3,276,stable,0.5,-0.2,1.1
"Wayne County, West Virginia(6,8)",,490.6,464.1,518.3,276,stable,6.3,-0.3,13.3
"Brown County, Ohio(6,8)",,481.2,455.4,508.1,275,stable,-0.1,-0.8,0.6
"Kay County, Oklahoma(6,8)",,471.3,445.7,498,275,stable,-0.9,-1.9,0.1
"Wyoming County, New York(7,8)",,531.8,503.2,561.7,274,stable,0,-0.9,0.9
"Dale County, Alabama(6,8)",,458.8,434.2,484.4,274,stable,0.3,-0.6,1.3
"Shelby County, Kentucky(7,8)",,516.2,488.4,545.2,274,stable,0,-0.7,0.7
"Effingham County, Georgia(7,8)",,483.5,457.2,511,273,stable,0.1,-0.7,1
"Washington County, Mississippi(6,8)",,496.3,469.4,524.4,273,stable,0.7,-0.4,1.8
"Webster Parish, Louisiana(7,8)",,506.7,479.4,535.2,273,falling,-0.7,-1.2,-0.3
"Nelson County, Kentucky(7,8)",,524,495.7,553.5,273,stable,-0.6,-1.4,0.3
"Huntingdon County, Pennsylvania(6,8)",,434.2,410.7,458.8,273,stable,-0.1,-0.9,0.8
"Okanogan County, Washington(6,8)",,453.2,428,479.5,271,stable,-0.1,-1.1,0.9
"Union County, Ohio(6,8)",,487,460.8,514.4,271,stable,0.2,-1,1.3
"Cass County, Michigan(6,8)",,371.7 #  ,351.2,393.2,271,stable,-0.7,-2,0.6
"Essex County, New York(7,8)",,461.5,436,488.3,271,falling,-0.7,-1.3,-0.1
"Waldo County, Maine(6,8)",,472.9,446.6,500.5,271,falling,-1.2,-1.9,-0.5
"Windham County, Vermont(6,8)",,431.5,407.3,457,271,falling,-2.1,-3.2,-0.9
"Chesterfield County, South Carolina(6,8)",,452.2,427.6,477.9,270,stable,0.4,-0.5,1.2
"Franklin County, Tennessee(6,8)",,478.8,452.6,506.2,269,stable,-1.6,-3.8,0.7
"Laurens County, Georgia(7,8)",,460.7,435.8,486.6,269,stable,0,-0.6,0.6
"McKean County, Pennsylvania(6,8)",,476.1,450.1,503.3,268,stable,-0.6,-1.3,0.2
"Coles County, Illinois(6,8)",,444.2,419.9,469.5,268,falling,-1.3,-2,-0.5
"Broomfield County, Colorado(6,8)",,396.5,375.1,418.9,267,falling,-1.1,-1.7,-0.5
"Douglas County, Wisconsin(6,8)",,475.3,449.3,502.6,267,rising,2.8,1.1,4.5
"Thomas County, Georgia(7,8)",,473.4,447.7,500.2,267,falling,-1.1,-2,-0.3
"Chaves County, New Mexico(7,8)",,359.5,340,379.8,267,falling,-2.9,-4.5,-1.4
"Gloucester County, Virginia(6,8)",,523,494.3,553.2,267,stable,0.3,-0.5,1
"Highland County, Ohio(6,8)",,488.2,461.6,515.9,267,rising,5.9,0.6,11.5
"Preble County, Ohio(6,8)",,489.3,462.5,517.4,267,stable,0.5,-0.4,1.4
"Shenandoah County, Virginia(6,8)",,426,402.6,450.6,266,stable,0.6,-0.5,1.6
"Vance County, North Carolina(6,8)",,474.8,448.7,502,266,stable,-0.7,-1.4,0
"Crawford County, Ohio(6,8)",,451.3,426.5,477.3,266,stable,0.2,-0.7,1.2
"Jackson County, Illinois(6,8)",,433.7,409.9,458.5,266,falling,-0.8,-1.6,-0.1
"Siskiyou County, California(7,8)",,378.4,356.6,401.4,266,falling,-8.8,-15.7,-1.3
"Danville City, Virginia(6,8)",,452.9,427.5,479.5,265,stable,0,-1.1,1
"Greenup County, Kentucky(7,8)",,527.5,498.6,557.9,265,stable,-0.1,-0.8,0.6
"Coffee County, Alabama(6,8)",,423.2,400.3,447.2,265,stable,0.3,-0.6,1.1
"Franklin County, Vermont(6,8)",,454.3,429.3,480.4,265,stable,0.3,-0.6,1.1
"Jefferson County, Illinois(6,8)",,521.8,493.2,551.7,264,stable,-0.1,-0.7,0.5
"Auglaize County, Ohio(6,8)",,447,422.5,472.7,264,stable,-0.1,-1,0.8
"Lamar County, Mississippi(6,8)",,427,403.9,451.1,264,stable,-0.9,-1.7,0
"Bulloch County, Georgia(7,8)",,403.2,381.1,426.2,262,stable,-0.6,-1.4,0.1
"Muscatine County, Iowa(7,8)",,510.3,482.3,539.6,262,stable,0,-0.3,0.4
"Logan County, West Virginia(6,8)",,556,524.9,588.5,262,stable,0.1,-0.8,1
"Okeechobee County, Florida(6,8)",,484.7,458.1,512.5,262,stable,-0.2,-1.3,0.8
"Greenbrier County, West Virginia(6,8)",,500.5,472.3,530.2,262,stable,0.1,-1,1.2
"Lawrence County, Tennessee(6,8)",,477.2,451.1,504.5,262,stable,5.5,0,11.3
"Transylvania County, North Carolina(6,8)",,433.5,407.7,460.7,261,stable,0.2,-1,1.3
"Sanilac County, Michigan(6,8)",,441.3 #  ,416.5,467.3,261,stable,-0.6,-1.4,0.3
"Warren County, Iowa(7,8)",,458.6,433.6,484.8,261,stable,0.1,-0.2,0.5
"St. Charles Parish, Louisiana(7,8)",,462.1,436.5,488.9,261,stable,-0.6,-1.3,0.1
"Butler County, Missouri(6,8)",,456.6,431.5,483,260,stable,-0.6,-1.5,0.4
"Shawano County, Wisconsin(6,8)",,436.9,412.5,462.5,259,stable,-0.6,-1.4,0.1
"Grady County, Oklahoma(6,8)",,398.2,376.3,421.1,259,stable,-1.1,-2.3,0
"Delaware County, Oklahoma(6,8)",,395.1,372.2,419.2,259,falling,-1.2,-2.3,-0.1
"Richmond County, North Carolina(6,8)",,451.7,426.7,477.8,259,falling,-3.4,-6.1,-0.6
"Bennington County, Vermont(6,8)",,477.5,450.2,506.2,259,falling,-1.5,-2.3,-0.8
"Pickens County, Georgia(7,8)",,584.3,551,619.3,259,rising,1.2,0.4,2
"Gadsden County, Florida(6,8)",,447.3,422.6,473.3,258,falling,-0.8,-1.6,-0.1
"Clatsop County, Oregon(6,8)",,466.9,440.3,494.9,258,stable,-0.3,-1.1,0.6
"Guernsey County, Ohio(6,8)",,492,464.5,520.9,258,stable,0.1,-0.8,0.9
"Lincoln County, Maine(6,8)",,447.1,420.6,475.1,256,stable,-0.6,-1.9,0.6
"Christian County, Illinois(6,8)",,551.7,521.1,583.9,256,stable,-0.2,-0.8,0.4
"Dallas County, Alabama(6,8)",,507.7,479.2,537.5,256,stable,0.9,-0.1,1.9
"Washington County, Maine(6,8)",,508.6,479.2,539.5,256,falling,-1.8,-2.6,-0.9
"Navarro County, Texas(6,8)",,428.8,405,453.6,255,stable,-0.7,-1.6,0.2
"Culpeper County, Virginia(6,8)",,446.2,421.5,472,255,falling,-1.4,-2.6,-0.1
"Boone County, Arkansas(6,8)",,488.7,461.3,517.4,255,stable,0.2,-0.7,1.1
"Delta County, Michigan(6,8)",,445.4 #  ,419.9,472.4,255,stable,-0.2,-1.5,1.1
"Marshall County, Iowa(7,8)",,488.5,461,517.2,254,stable,-0.1,-0.4,0.2
"Scott County, Kentucky(7,8)",,498,470.1,527.1,254,stable,-0.2,-0.8,0.4
"Morgan County, Illinois(6,8)",,548,517.1,580.3,253,stable,0.8,0,1.5
"Person County, North Carolina(6,8)",,478.1,451.1,506.4,253,stable,0.1,-0.6,0.7
"Le Flore County, Oklahoma(6,8)",,402.3,379.8,425.8,253,stable,7.5,-4.2,20.5
"Monroe County, Wisconsin(6,8)",,455.4,429.9,482.1,253,stable,-0.6,-1.5,0.3
"Polk County, Wisconsin(6,8)",,407.7,384.7,431.9,252,stable,0.1,-1.4,1.5
"Nacogdoches County, Texas(6,8)",,372.5,351.6,394.2,252,falling,-3.7,-4.8,-2.5
"Pittsburg County, Oklahoma(6,8)",,417.2,393.7,441.9,252,falling,-1.1,-1.9,-0.2
"Franklin County, Washington(6,8)",,363.1,342.5,384.6,251,falling,-2.1,-3,-1.2
"Dodge County, Nebraska(6,8)",,525.7,495.8,556.9,251,stable,-0.3,-1.3,0.7
"Jackson County, Indiana(6,8)",,479,452.4,506.8,250,stable,-0.5,-1.4,0.4
"Covington County, Alabama(6,8)",,482.2,454.6,511.1,250,stable,1.1,0,2.2
